Team,Position,Season,Last 5,Last 10,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO
Philadelphia 76ers,C ,52.7,54.7,54.3,22.1,14.7,2.7,1.6,2.6,0.4,56.6,59.4,2.4
Brooklyn Nets,C ,51.9,60.9,57.2,21.9,14.1,3.9,1.2,2.5,0.4,54.4,80.0,3.4
New Orleans Pelicans,C ,51.9,67.1,60.5,18.6,17.0,4.2,1.0,2.1,0.4,50.0,70.0,3.0
Los Angeles Lakers,C ,51.5,57.2,57.0,20.3,14.5,3.1,1.7,2.8,0.6,54.8,65.8,2.7
Miami Heat,C ,51.0,55.6,51.9,20.1,15.1,2.7,1.4,2.7,0.3,55.9,71.3,2.2
New York Knicks,C ,50.7,43.0,56.5,22.3,14.3,1.8,1.0,3.0,0.6,52.2,64.5,2.2
Charlotte Hornets,C ,50.7,51.6,50.8,20.2,15.0,3.1,1.4,2.3,1.0,50.5,70.8,2.6
Chicago Bulls,C ,50.6,59.4,56.2,20.1,14.3,3.0,1.8,2.5,0.2,50.2,68.8,2.1
Indiana Pacers,C ,50.4,46.9,50.6,20.4,15.8,2.6,1.4,2.3,0.4,55.8,69.1,3.3
Portland Trail Blazers,C ,50.2,58.9,56.4,22.6,14.9,2.1,0.9,2.2,0.6,53.7,68.6,2.1
Milwaukee Bucks,C ,50.2,54.3,49.2,18.8,14.9,3.5,1.3,2.7,1.0,47.1,65.7,2.8
Washington Wizards,C ,49.9,60.1,53.0,20.1,15.6,2.5,1.1,2.3,0.6,55.4,57.1,2.8
Houston Rockets,C ,49.8,57.3,55.3,19.2,14.8,3.7,1.4,2.5,0.1,53.2,66.3,3.8
Cleveland Cavaliers,C ,49.1,48.5,53.7,18.9,16.8,3.1,0.8,2.0,0.5,51.4,61.7,3.5
Dallas Mavericks,C ,49.1,51.6,49.1,21.0,14.2,3.0,1.4,1.8,0.2,54.6,67.9,2.5
Orlando Magic,C ,48.9,51.3,54.9,18.9,15.1,2.6,1.2,2.5,0.3,48.8,65.5,2.0
Boston Celtics,C ,48.6,42.9,45.8,19.4,15.6,2.9,1.4,1.8,0.4,50.0,63.7,3.2
Minnesota Timberwolves,C ,48.5,47.9,49.2,20.7,14.4,2.7,0.8,2.4,0.7,56.1,66.3,2.9
Phoenix Suns,C ,47.6,51.1,51.0,20.4,13.6,3.4,0.9,2.1,0.6,51.6,71.9,3.8
Sacramento Kings,C ,47.2,50.6,50.3,18.8,13.8,2.2,1.1,3.0,0.5,54.6,62.5,2.2
Golden State Warriors,C ,46.9,54.5,49.4,19.4,15.4,3.0,1.1,1.2,0.3,55.1,63.6,2.7
Toronto Raptors,C ,46.6,55.4,49.4,20.5,14.3,2.1,1.2,1.7,0.4,51.9,64.0,2.7
Detroit Pistons,C ,46.1,42.0,41.1,18.0,13.8,2.8,1.6,2.2,0.5,51.8,63.1,3.1
Denver Nuggets,C ,46.1,49.9,48.3,18.4,13.2,2.4,1.2,2.7,0.3,54.9,62.1,1.8
Los Angeles Clippers,C ,44.8,43.8,52.1,19.1,12.9,3.3,1.2,1.4,0.7,47.3,68.8,2.9
Oklahoma City Thunder,C ,44.4,47.7,48.5,19.3,12.4,2.4,1.1,2.4,0.7,52.9,69.5,2.9
Utah Jazz,C ,44.3,39.4,39.6,19.0,13.8,2.3,0.8,1.7,0.3,45.4,55.6,1.9
Atlanta Hawks,C ,44.0,49.1,45.5,16.5,14.5,2.1,1.8,2.0,0.2,51.7,70.7,3.4
San Antonio Spurs,C ,43.7,54.1,48.4,17.1,14.6,2.4,1.1,1.6,0.1,49.4,70.3,2.8
Memphis Grizzlies,C ,40.4,36.9,40.0,14.1,13.3,3.0,1.2,1.9,0.5,45.9,58.7,3.7
