Name,Dropped,Added,Total,Date
Michael Kidd-Gilchrist,174,14468,14650,2016-10-27
Sergio Rodriguez,167,11868,12036,2016-10-27
Roy Hibbert,140,11525,11666,2016-10-27
Jonathon Simmons,2097,7036,9133,2016-10-27
Joe Johnson,360,8676,9038,2016-10-27
Justin Hamilton,108,8611,8719,2016-10-27
J.J. Barea,113,5818,5931,2016-10-27
Matt Barnes,565,4003,4570,2016-10-27
Ty Lawson,908,3140,4049,2016-10-27
Allen Crabbe,760,3276,4039,2016-10-27
Wade Baldwin IV,72,3802,3874,2016-10-27
Tim Frazier,158,3338,3504,2016-10-27
Mirza Teletovic,2895,359,3262,2016-10-27
Tyler Johnson,139,2851,2991,2016-10-27
Buddy Hield,2769,163,2951,2016-10-27
Willie Cauley-Stein,2540,398,2940,2016-10-27
Patty Mills,777,2118,2896,2016-10-27
Marcus Morris,222,2647,2876,2016-10-27
Rondae Hollis-Jefferson,2658,174,2846,2016-10-27
Terrence Jones,2556,242,2810,2016-10-27
Justise Winslow,139,2646,2795,2016-10-27
Luol Deng,2627,160,2794,2016-10-27
Jamal Murray,2714,71,2790,2016-10-27
Bojan Bogdanovic,217,2535,2759,2016-10-27
Cody Zeller,297,2419,2718,2016-10-27
Will Barton,359,2314,2680,2016-10-27
Courtney Lee,2459,179,2643,2016-10-27
Nerlens Noel,2338,247,2607,2016-10-27
Tony Parker,1819,770,2596,2016-10-27
Patrick Beverley,2390,158,2552,2016-10-27
Joakim Noah,2331,179,2526,2016-10-27
Al Jefferson,2081,435,2523,2016-10-27
Stanley Johnson,2412,62,2476,2016-10-27
Ish Smith,1812,616,2437,2016-10-27
Evan Turner,1895,525,2428,2016-10-27
Danny Green,2044,183,2233,2016-10-27
Marcus Smart,2015,153,2176,2016-10-27
Mason Plumlee,1472,606,2095,2016-10-27
Timofey Mozgov,415,1678,2095,2016-10-27
Deron Williams,114,1963,2089,2016-10-27
Brandon Ingram,1623,391,2034,2016-10-27
Dario Saric,1863,148,2023,2016-10-27
Joe Harris,49,1965,2014,2016-10-27
Lou Williams,1391,603,2004,2016-10-27
Al-Farouq Aminu,1636,357,2003,2016-10-27
Jahlil Okafor,1864,100,1985,2016-10-27
Kentavious Caldwell-Pope,1720,191,1923,2016-10-27
Jared Sullinger,1786,126,1914,2016-10-27
Seth Curry,1029,862,1897,2016-10-27
Matthew Dellavedova,1546,339,1893,2016-10-27
